Out_Avg_Temp,Out_RH,Out_label,In_Avg_Temp,In_RH,In_label
22.8,0.0169022544134,1.0,21.3,0.0161418181495,0.0
23.8,0.0168934805853,1.0,21.3,0.0160048295937,0.0
25.3,0.0168105177975,1.0,21.4,0.0162585847019,0.0
25.6,0.0168042666194,1.0,21.5,0.0162836995416,0.0
26.3,0.0172930537765,1.0,21.6,0.0164014101628,0.0
26.9,0.0169704347387,1.0,21.7,0.0166600610046,0.0
27.4,0.0171569090166,1.0,21.7,0.0165899625712,0.0
27.8,0.0170784936206,1.0,21.8,0.0166860684774,0.0
28.4,0.0171063530591,1.0,21.9,0.0168535683434,0.0
28.5,0.0172347239896,1.0,21.9,0.0169717560597,0.0
29.3,0.0175399570782,1.0,22.0,0.0169748233317,0.0
28.9,0.0176864302613,1.0,22.0,0.0170223718564,0.0
28.9,0.017441271822,1.0,22.1,0.0171685755122,0.0
29.9,0.0173081239053,1.0,22.1,0.017096840517,0.0
30.3,0.0172715965365,1.0,22.2,0.0171234249657,0.0
30.5,0.0177267731218,1.0,22.2,0.0171234249657,0.0
30.4,0.0170992630977,1.0,22.3,0.0173915548933,0.0
30.2,0.0175166813953,1.0,22.3,0.0172464236981,0.0
30.1,0.0173472944014,1.0,22.4,0.0172972101523,0.0
30.1,0.0172351351704,1.0,22.5,0.0175926131545,0.0
30.6,0.0172465845603,1.0,22.2,0.0166183801282,0.0
30.3,0.0172715965365,1.0,21.8,0.0161455338647,0.0
30.3,0.0173471833923,1.0,21.6,0.0164014101628,0.0
29.7,0.0175235827653,1.0,21.5,0.0162144072032,0.0
29.4,0.0176357911649,1.0,21.4,0.0163504411127,0.0
29.0,0.0178185734391,1.0,21.3,0.0160276610197,0.0
28.7,0.0178057104798,1.0,21.2,0.0160711845359,0.0
28.5,0.0179200012854,1.0,21.2,0.0169791610633,0.0
28.4,0.0178219574699,1.0,21.5,0.0173230846188,0.0
28.2,0.0188406038746,1.0,21.6,0.0173771314472,0.0
27.7,0.0193781327592,1.0,21.8,0.0177201346929,0.0
26.5,0.0195730211959,1.0,21.9,0.0179881704198,0.0
26.2,0.0195199257168,1.0,21.9,0.0178463451602,0.0
25.8,0.0194718584214,1.0,21.9,0.01791725779,0.0
25.3,0.0193923379371,1.0,22.0,0.0179733423512,0.0
24.7,0.0191638876382,1.0,22.0,0.0179257938264,0.0
24.1,0.0182024337641,1.0,22.0,0.0179733423512,0.0
23.5,0.0177474488508,1.0,21.9,0.0177281574439,0.0
23.3,0.017956015942,1.0,21.9,0.0175390570979,0.0
23.0,0.0178522808212,1.0,21.9,0.0176808823574,0.0
